UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C1519780:T191:DISO	Undifferentiated Carcinoma of the Mouse Pharynx With Lymphoid Stroma
UMLS:C1519779:T191:DISO	Undifferentiated Carcinoma of the Mouse Pharynx
UMLS:C1519766:T046:DISO	Transmission, Other/Miscellaneous
UMLS:C1519765:T191:DISO	Unclassified Malignant Spindle Cell Neoplasm of the Mouse Skin
UMLS:C1519759:T049:DISO	Unbalanced Translocation of Chromosome 1
UMLS:C1519758:T049:DISO	Unbalanced Translocation
UMLS:C1519752:T047:DISO	ulceration of the mouse intestinal tract
UMLS:C1519745:T049:DISO	UV Mutagenesis
UMLS:C1519721:T191:DISO	Typical Ovarian Thecoma
UMLS:C1519719:T191:DISO	Type I Endometrial Adenocarcinoma
UMLS:C1519714:T191:DISO	Type II Endometrial Adenocarcinoma
UMLS:C1519711:T047:DISO	type 3 autoimmune lymphoproliferative syndrome|type 3 alps
UMLS:C1519710:T191:DISO	Type 2 Renal Papillary Adenoma
UMLS:C1519709:T047:DISO	type 2 autoimmune lymphoproliferative syndrome|type 2 alps
UMLS:C1519708:T047:DISO	type 1b autoimmune lymphoproliferative syndrome|type 1b alps
UMLS:C1519707:T047:DISO	type 1a alps|type 1a autoimmune lymphoproliferative syndrome
UMLS:C1519706:T191:DISO	Type 1 Renal Papillary Adenoma
UMLS:C1519703:T191:DISO	Turcot Syndrome Type 2
UMLS:C1519702:T191:DISO	Turcot Syndrome Type 1
UMLS:C1519700:T191:DISO	Tumors of the Mouse Sellar Region
UMLS:C1519699:T191:DISO	Tumors of the Mouse Pulmonary System
UMLS:C1519698:T191:DISO	Tumors of the Mouse Meningothelial Cells
UMLS:C1519697:T046:DISO	Tumorigenicity
UMLS:C1519696:T191:DISO	Tumor of the Thecoma/Fibroma Group
UMLS:C1519695:T191:DISO	Tumor of Specialized Prostatic Stroma
UMLS:C1519689:T191:DISO	Tumor Promotion
UMLS:C1519683:T046:DISO	Tumor Leakage
UMLS:C1519680:T047:DISO	tumor immunity
UMLS:C1519678:T191:DISO	Tumor Expansion
UMLS:C1519675:T191:DISO	Tumor Cell Mobility
UMLS:C1519670:T191:DISO	Tumor Angiogenesis
UMLS:C1519669:T049:DISO	Tumor-Suppressor Pathway Deregulation
UMLS:C1519668:T049:DISO	Tumor-Suppressor Gene Inactivation
UMLS:C1519665:T191:DISO	Tumor-Associated Process
UMLS:C1519663:T191:DISO	Ovarian Sertoli Cell Tumor
UMLS:C1519662:T191:DISO	Tubular Adenocarcinoma of the Mouse Intestinal Tract
UMLS:C1519660:T046:DISO	Tubal Epithelial Hyperplasia
UMLS:C1519659:T046:DISO	Tubal Diverticulosis
UMLS:C1519654:T049:DISO	Trisomy 5
UMLS:C1519653:T049:DISO	Trisomy 4
UMLS:C1519652:T049:DISO	Trisomy 3
UMLS:C1519651:T049:DISO	Trisomy 16
UMLS:C1519647:T191:DISO	Trichofolliculoma Type of Basaloid Follicular Neoplasm of the Mouse Skin
UMLS:C1519646:T191:DISO	Trichoepithelioma Type of Basaloid Follicular Neoplasm of the Mouse Skin
UMLS:C1519645:T191:DISO	Trichoblastoma Type of Basaloid Follicular Neoplasm of the Mouse Skin
UMLS:C1519509:T191:DISO	Stage II High Grade Burkitt-Like Lymphoma
UMLS:C1519508:T191:DISO	Stage II Centroblastic Follicular Lymphoma
UMLS:C1519507:T191:DISO	Stage III High Grade Burkitt-Like Lymphoma
UMLS:C1519503:T191:DISO	Stage 0 Renal Pelvis and Ureter Urothelial Carcinoma
UMLS:C1519502:T047:DISO	squamous proliferative disorders of the mouse skin
UMLS:C1519501:T047:DISO	squamous nodule of the mouse mammary gland
UMLS:C1519500:T191:DISO	Squamous Neoplasms of the Mouse Skin
UMLS:C1519499:T191:DISO	Squamous Metaplastic Carcinoma of the Mouse Mammary Gland
UMLS:C1519498:T047:DISO	squamous metaplasia of the mouse intestinal tract
UMLS:C1519497:T047:DISO	squamous hyperplasia of the mouse skin with atypia
UMLS:C1519496:T047:DISO	squamous hyperplasia of the mouse skin
UMLS:C1519495:T191:DISO	Squamous Dysplasia of the Mouse Pulmonary System
UMLS:C1519493:T191:DISO	Squamous Cell Carcinoma of the Mouse Pulmonary System
UMLS:C1519492:T191:DISO	Squamous Cell Carcinoma of the Mouse Prostate Gland
UMLS:C1519491:T191:DISO	Squamous Cell Carcinoma of the Mouse Nose and Paranasal Sinuses
UMLS:C1519490:T191:DISO	Squamous Cell Carcinoma of the Mouse Intestinal Tract
UMLS:C1519489:T191:DISO	Squamous Cell Carcinoma In-situ of the Mouse Oral Cavity
UMLS:C1519488:T191:DISO	Squamous Cell Carcinoma In-situ of the Mouse Larynx
UMLS:C1519487:T191:DISO	Squamous Cell Breast Carcinoma, Spindle Cell Variant
UMLS:C1519486:T191:DISO	Squamous Cell Breast Carcinoma, Large Cell Keratinizing Variant
UMLS:C1519485:T191:DISO	Squamous Cell Breast Carcinoma, Acantholytic Variant
UMLS:C1519481:T049:DISO	Sporadic Breast Tumor Mutation
UMLS:C1519469:T191:DISO	Spiradenoma Type of Basaloid Follicular Neoplasm of the Mouse Skin
UMLS:C1519465:T191:DISO	Spindle Cell / Sarcomatoid Carcinoma of the Mouse Prostate Gland
UMLS:C1519463:T191:DISO	Spindle Cell Metaplastic Carcinoma of the Mouse Mammary Gland
UMLS:C1519462:T191:DISO	Spindle Cell Hemangioendothelioma of the Mouse Blood Vessel
UMLS:C1519412:T191:DISO	Solitary Fibrous Tumour of the Mouse Nervous System
UMLS:C1519411:T191:DISO	Solid Mouse MIN NOS
UMLS:C1519410:T191:DISO	Solid Mammary Carcinoma of Mouse
UMLS:C1519409:T191:DISO	Solid Adenoma of the Mouse Pulmonary System
UMLS:C1519408:T191:DISO	Solid Adenocarcinoma of the Mouse Pulmonary System
UMLS:C1519390:T191:DISO	Smooth Muscle Neoplasms of the Mouse Oral Cavity
UMLS:C1519389:T191:DISO	Smooth Muscle Neoplasms of the Mouse Nose and Paranasal Sinuses
UMLS:C1519371:T191:DISO	Small Intestinal Enteropathy-Associated T-Cell Lymphoma
UMLS:C1519370:T191:DISO	Anaplastic Large Cell Lymphoma, Signet Ring-Like Subtype
UMLS:C1519369:T191:DISO	Anaplastic Large Cell Lymphoma, Sarcomatoid Subtype
UMLS:C1519368:T191:DISO	Anaplastic Large Cell Lymphoma, Giant Cell Rich Subtype
UMLS:C1519367:T191:DISO	Small Cell Osteosarcoma of the Mouse Skeletal System
UMLS:C1519362:T191:DISO	Small B Cell Lymphoma of the Mouse Hematologic System
UMLS:C1519346:T191:DISO	Skin Carcinogenesis
UMLS:C1519340:T191:DISO	Skeletal Muscle Neoplasms of the Mouse Pharynx
UMLS:C1519339:T191:DISO	Skeletal Muscle Neoplasms of the Mouse Nose and Paranasal Sinuses
UMLS:C1519324:T191:DISO	Simple Mouse MIN NOS
UMLS:C1519321:T191:DISO	Signet Ring Cell Intrahepatic Cholangiocarcinoma
UMLS:C1519320:T191:DISO	Skin Signet Ring Cell Basal Cell Carcinoma
UMLS:C1519319:T191:DISO	Signet Ring Cell Adenocarcinoma of the Mouse Intestinal Tract
UMLS:C1519314:T049:DISO	Signal Transduction Pathway Deregulation
UMLS:C1519276:T191:DISO	Ovarian Sex Cord Tumor with Annular Tubules
UMLS:C1519273:T191:DISO	Sessile Villous Adenoma of the Mouse Intestinal Tract
UMLS:C1519272:T191:DISO	Sessile Tubulovillous Adenoma of the Mouse Intestinal Tract
UMLS:C1519271:T191:DISO	Sessile Tubular Adenoma of the Mouse Intestinal Tract
UMLS:C1519270:T191:DISO	Sessile Adenoma of the Mouse Intestinal Tract
UMLS:C1519263:T191:DISO	Serous Carcinoma of the Mouse Endometrium
UMLS:C1519234:T191:DISO	Seminal Vesicle Cystadenoma
UMLS:C1519233:T191:DISO	Seminal Vesicle Adenocarcinoma
UMLS:C1519218:T191:DISO	Secondary Prostate Urothelial Carcinoma
UMLS:C1519216:T191:DISO	Secondary Mouse Gastric Non-Hodgkin Lymphoma
UMLS:C1519214:T191:DISO	Glioblastoma, IDH-Mutant
UMLS:C1519209:T191:DISO	Sebaceous Neoplasms and Hyperplasias of the Mouse Skin
UMLS:C1519208:T191:DISO	Sebaceous Lymphadenoma of the Mouse Salivary Glands
UMLS:C1519207:T191:DISO	Sebaceous Breast Carcinoma
UMLS:C1519204:T191:DISO	Thyroid Gland Sclerosing Mucoepidermoid Carcinoma with Eosinophilia
UMLS:C1519195:T191:DISO	Schistosoma Hematobium-Related Bladder Verrucous Carcinoma
UMLS:C1519184:T191:DISO	Sarcomatoid Intrahepatic Cholangiocarcinoma
UMLS:C1519182:T191:DISO	Skin Sarcomatoid Basal Cell Carcinoma
UMLS:C1519181:T191:DISO	Sarcomas of the Mouse Skin and Subcutis
UMLS:C1519176:T191:DISO	Pleomorphic adenoma of salivary gland|Salivary gland adenoma, pleomorphic|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product|MedGen UID: 107465, Concept ID: C0544886, Cell or Molecular Dysfunction
UMLS:C1519175:T191:DISO	Salivary Gland Myoepithelial Tumor
UMLS:C1519172:T191:DISO	Salivary Gland Carcinoma ex Pleomorphic Adenoma
UMLS:C1519160:T049:DISO	STAT5B-RARA Fusion Protein Expression
UMLS:C1519158:T049:DISO	SS18-SSX4 Fusion Protein Expression
UMLS:C1519157:T049:DISO	SS18-SSX2 Fusion Protein Expression
UMLS:C1519156:T049:DISO	SS18-SSX1 Fusion Protein Expression
UMLS:C1519144:T047:DISO	sjl disease of the mouse hematologic system
UMLS:C1519099:T049:DISO	Ring Chromosome 1
UMLS:C1519086:T191:DISO	Pilomyxoid Astrocytoma
UMLS:C1519085:T191:DISO	Pilomatrixoma Type of Basaloid Follicular Neoplasm of the Mouse Skin
UMLS:C1519077:T047:DISO	physiological focal hyperplasia of the mouse prostate gland
UMLS:C1519076:T047:DISO	physiological diffuse hyperplasia of the mouse prostate gland
UMLS:C1519009:T191:DISO	Peritoneal Gastrointestinal Stromal Tumor
UMLS:C1519001:T191:DISO	Peripheral Nerve Schwannoma
UMLS:C1518992:T191:DISO	Periosteal Osteosarcoma of the Mouse Skeletal System
UMLS:C1518979:T046:DISO	Transmission, Perinatal Infection
UMLS:C1518974:T191:DISO	Periductal Breast Myoepitheliosis
UMLS:C1518950:T191:DISO	Penile Urethral Malignant Neoplasm
UMLS:C1518949:T191:DISO	Penile Basal Cell Carcinoma
UMLS:C1518937:T191:DISO	Pedunculated Tubulovillous Adenoma of the Mouse Intestinal Tract
UMLS:C1518936:T191:DISO	Pedunculated Tubular Adenoma of the Mouse Intestinal Tract
UMLS:C1518911:T049:DISO	Pathologic Mutagenesis
UMLS:C1518910:T047:DISO	pathogenesis of hiv opportunistic infection
UMLS:C1518909:T047:DISO	pathogenesis of hiv neurological disease
UMLS:C1518908:T047:DISO	pathogenesis of hiv malignancy
UMLS:C1518907:T047:DISO	pathogenesis of hiv-related organ/tissue disorder
UMLS:C1518898:T191:DISO	Parosteal Osteosarcoma of the Mouse Skeletal System
UMLS:C1518888:T191:DISO	Paraganglioma of the Mouse Filum Terminale
UMLS:C1518885:T191:DISO	Papilloma of the Mouse Nose and Paranasal Sinuses
UMLS:C1518884:T191:DISO	Papilloma of the Mouse Mammary Gland
UMLS:C1518883:T191:DISO	Papilloma of the Mouse Larynx
UMLS:C1518882:T191:DISO	Bladder Papillary Urothelial Carcinoma
UMLS:C1518881:T191:DISO	Papillary Serous Carcinoma of the Mouse Endometrium
UMLS:C1518880:T191:DISO	Papillary Mammary Carcinoma of Mouse
UMLS:C1518879:T191:DISO	Renal Papillary Adenoma
UMLS:C1518878:T191:DISO	Papillary Adenocarcinoma of the Mouse Salivary Glands
UMLS:C1518877:T191:DISO	Papillary Adenocarcinoma of the Mouse Pulmonary System
UMLS:C1518875:T191:DISO	Pancreatic Serous Neoplasm
UMLS:C1518874:T191:DISO	Pancreatic Non-Invasive Mucinous Cystadenocarcinoma
UMLS:C1518873:T191:DISO	Pancreatic Intraductal Papillary-Mucinous Neoplasm with High Grade Dysplasia
UMLS:C1518872:T191:DISO	Pancreatic Mucinous-Cystic Neoplasm
UMLS:C1518871:T191:DISO	Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma
UMLS:C1518870:T191:DISO	Pancreatic Mucinous-Cystic Neoplasm with an Associated Invasive Carcinoma
UMLS:C1518869:T191:DISO	Pancreatic Intraductal Papillary-Mucinous Neoplasm
UMLS:C1518868:T191:DISO	Pancreatic Intraductal Papillary-Mucinous Neoplasm with Low Grade Dysplasia
UMLS:C1518830:T049:DISO	PTEN Gene Inactivation
UMLS:C1518828:T049:DISO	PTCH Gene Inactivation
UMLS:C1518824:T049:DISO	PSF-TFE3 Fusion Protein Expression
UMLS:C1518813:T049:DISO	PRCC-TFE3 Fusion Protein Expression
UMLS:C1518800:T049:DISO	PMS2 Gene Inactivation
UMLS:C1518799:T049:DISO	PMS1 Gene Inactivation
UMLS:C1518798:T049:DISO	PML-RARA Fusion Protein Expression
UMLS:C1518796:T049:DISO	ZBTB16-RARA Fusion Protein Expression
UMLS:C1518795:T049:DISO	PKCbeta1 Messenger RNA Overexpression
UMLS:C1518783:T049:DISO	PDGFRalpha Protein Overexpression
UMLS:C1518782:T049:DISO	PDGFRA Gene Mutation
UMLS:C1518778:T049:DISO	PAX7-FOXO1 Fusion Protein Expression
UMLS:C1518776:T049:DISO	PAX3-FOXO1 Fusion Protein Expression
UMLS:C1518770:T049:DISO	P13K-AKT Pathway Deregulation
UMLS:C1518768:T191:DISO	Oxyphilic Endometrial Endometrioid Adenocarcinoma
UMLS:C1518761:T049:DISO	Positive Regulation of Oxidative Stress Process
UMLS:C1518749:T191:DISO	Ovarian Yolk Sac Tumor, Polyvesicular Vitelline Pattern
UMLS:C1518748:T191:DISO	Ovarian Yolk Sac Tumor, Hepatoid Pattern
UMLS:C1518747:T191:DISO	Ovarian Yolk Sac Tumor, Glandular Pattern
UMLS:C1518746:T191:DISO	Ovarian Wilms Tumor
UMLS:C1518745:T191:DISO	Ovarian Trabecular Carcinoid Tumor
UMLS:C1518743:T047:DISO	ovarian stromal hyperthecosis
UMLS:C1518742:T047:DISO	ovarian stromal hyperplasia
UMLS:C1518741:T191:DISO	Ovarian Stromal-Leydig Cell Tumor
UMLS:C1518740:T191:DISO	Ovarian Steroid Cell Tumor, Not Otherwise Specified
UMLS:C1518739:T191:DISO	Ovarian Squamous Cell Tumor
UMLS:C1518737:T191:DISO	Ovarian Small Cell Carcinoma, Pulmonary Type
UMLS:C1518736:T191:DISO	Ovarian Small Cell Carcinoma, Hypercalcemic Type
UMLS:C1518735:T191:DISO	Ovarian Signet Ring Stromal Tumor
UMLS:C1518734:T191:DISO	Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types
UMLS:C1518733:T191:DISO	Ovarian Sex Cord-Stromal Tumor Associated with Peutz-Jeghers Syndrome
UMLS:C1518732:T191:DISO	Ovarian Sertoli-Stromal Cell Tumor
UMLS:C1518731:T191:DISO	Ovarian Sertoli-Leydig Cell Tumor with Retiform Elements
UMLS:C1518730:T191:DISO	Ovarian Sertoli-Leydig Cell Tumor with Heterologous Elements
UMLS:C1518729:T191:DISO	Ovarian Serous Adenofibroma
UMLS:C1518728:T191:DISO	Ovarian Retiform Sertoli-Leydig Cell Tumor
UMLS:C1518727:T191:DISO	Ovarian Primitive Germ Cell Tumor
UMLS:C1518726:T191:DISO	Ovarian Mucinous Cystic Tumor Associated with Pseudomyxoma Peritonei
UMLS:C1518725:T191:DISO	Ovarian Mucinous Cystadenofibroma
UMLS:C1518724:T191:DISO	Ovarian Mucinous Carcinoid Tumor
UMLS:C1518723:T191:DISO	Ovarian Mucinous Adenofibroma
UMLS:C1518721:T191:DISO	Ovarian Malignant Mesothelioma
UMLS:C1518720:T191:DISO	Ovarian Lymphoma
UMLS:C1518719:T191:DISO	Ovarian Leydig Cell Tumor, Non-Hilar Type
UMLS:C1518718:T191:DISO	Ovarian Insular Carcinoid Tumor
UMLS:C1518716:T191:DISO	Ovarian gonadoblastoma|Gonadoblastoma, female
UMLS:C1518715:T191:DISO	Ovarian Fetiform Teratoma
UMLS:C1518713:T191:DISO	Ovarian Endometrioid Cystadenoma
UMLS:C1518711:T191:DISO	Ovarian Endometrioid Adenocarcinofibroma
UMLS:C1518710:T191:DISO	Ovarian Dermoid Cyst with Squamous Cell Carcinoma
UMLS:C1518709:T191:DISO	Ovarian Dermoid Cyst with Secondary Sebaceous Tumor
UMLS:C1518708:T191:DISO	Ovarian Dermoid Cyst with Secondary Sarcoma
UMLS:C1518707:T191:DISO	Ovarian Dermoid Cyst with Secondary Pituitary-Type Tumor
UMLS:C1518706:T191:DISO	Ovarian Dermoid Cyst with Secondary Melanocytic Lesion
UMLS:C1518705:T191:DISO	Ovarian Dermoid Cyst with Secondary Carcinoma
UMLS:C1518704:T191:DISO	Ovarian Dermoid Cyst with Sebaceous Carcinoma
UMLS:C1518703:T191:DISO	Ovarian Dermoid Cyst with Sebaceous Adenoma
UMLS:C1518702:T191:DISO	Ovarian Dermoid Cyst with Prolactin Secreting Adenoma
UMLS:C1518701:T191:DISO	Ovarian Dermoid Cyst with Melanoma
UMLS:C1518700:T191:DISO	Ovarian Dermoid Cyst with Melanocytic Nevus
UMLS:C1518699:T191:DISO	Ovarian Dermoid Cyst with Leiomyosarcoma
UMLS:C1518698:T191:DISO	Ovarian Dermoid Cyst with Corticotropin Secreting Adenoma
UMLS:C1518697:T191:DISO	Ovarian Dermoid Cyst with Angiosarcoma
UMLS:C1518696:T191:DISO	Ovarian Dermoid Cyst with Adenocarcinoma
UMLS:C1518695:T191:DISO	Ovarian Clear Cell Cystadenofibroma
UMLS:C1518694:T191:DISO	Ovarian Clear Cell Adenofibroma
UMLS:C1518693:T191:DISO	Ovarian Clear Cell Adenocarcinoma
UMLS:C1518691:T191:DISO	Ovarian Biphasic or Triphasic Teratoma
UMLS:C1518673:T191:DISO	Other Variants of Basaloid Follicular Neoplasm of the Mouse Skin
UMLS:C1518664:T047:DISO	Other Non-neoplastic Proliferations of the Mouse Mammary Gland
UMLS:C1518663:T047:DISO	Other Non-Neoplastic Proliferation of the Mouse Prostate Gland
UMLS:C1518661:T191:DISO	Other Mouse Melanoma
UMLS:C1518659:T191:DISO	Other Metaplastic Carcinomas of the Mouse Mammary Gland
UMLS:C1518658:T191:DISO	Other Mammary Carcinoma of Mouse
UMLS:C1518657:T191:DISO	Other Lymphomas of the Mouse Skin
UMLS:C1518653:T047:DISO	Other Focal Hyperplasias of the Mouse Mammary Gland
UMLS:C1518649:T191:DISO	Other Cutaneous Neoplasms of Hematopoetic Origin of Mouse
UMLS:C1518647:T191:DISO	Other Cancer of the Mouse Mammary Gland NOS
UMLS:C1518641:T191:DISO	Other Adnexal Neoplasms of the Mouse Skin
UMLS:C1518639:T191:DISO	Osteosarcoma of the Mouse Skeletal System
UMLS:C1518638:T191:DISO	Osteosarcoma of the Mouse Nervous System
UMLS:C1518637:T191:DISO	Osteosarcoma of the Mouse Larynx
UMLS:C1518636:T191:DISO	Osteosarcoma in Paget Disease of the Mouse Skeletal System
UMLS:C1518635:T191:DISO	Osteoma of the Mouse Skeletal System, NOS
UMLS:C1518634:T191:DISO	Osteoma of the Mouse Nervous System
UMLS:C1518632:T191:DISO	Osteoid Osteoma of the Mouse Skeletal System, NOS
UMLS:C1518628:T191:DISO	Osteochondromatosis of the Mouse Skeletal System, NOS
UMLS:C1518627:T191:DISO	Osteochondroma of the Mouse Skeletal System
UMLS:C1518626:T191:DISO	Osteochondroma of the Mouse Nervous System
UMLS:C1518625:T191:DISO	Osteoblastoma of the Mouse Skeletal System, NOS
UMLS:C1518623:T191:DISO	Osseous Metaplastic Carcinoma of the Mouse Mammary Gland
UMLS:C1518576:T049:DISO	Oncogene Deregulation
UMLS:C1518575:T049:DISO	Oncogene Activation Process
UMLS:C1518574:T191:DISO	Oncocytic Breast Carcinoma
UMLS:C1518571:T191:DISO	Omentum Gastrointestinal Stromal Tumor
UMLS:C1518568:T191:DISO	Olfactory Neuroblastoma of the Mouse Nose and Paranasal Sinuses
UMLS:C1518537:T046:DISO	Transmission, Occupationally Related
UMLS:C1518521:T049:DISO	RBM15-MKL1 Fusion Protein Expression
UMLS:C1518472:T049:DISO	Numerical Chromosomal Abnormality
UMLS:C1518432:T049:DISO	NUMA1-RARA Fusion Protein Expression
UMLS:C1518403:T047:DISO	non-proliferative developmental conditions of the mouse prostate gland
UMLS:C1518402:T047:DISO	non-proliferative developmental conditions of the mouse mammary gland
UMLS:C1518400:T047:DISO	non-physiological focal hyperplasia of the mouse prostate gland
UMLS:C1518399:T047:DISO	non-physiological diffuse hyperplasia of the mouse prostate gland
UMLS:C1518398:T047:DISO	non-physiological diffuse hyperplasia of the mouse mammary gland
UMLS:C1518397:T047:DISO	non-neoplastic proliferation of the mouse prostate gland
UMLS:C1518396:T047:DISO	non-neoplastic lymphoid disorders of the mouse hematologic system
UMLS:C1518395:T047:DISO	non-neoplastic disorders of the mouse skin
UMLS:C1518383:T047:DISO	non-neoplastic splenic myeloid hyperplasia of mouse
UMLS:C1518382:T047:DISO	non-neoplastic proliferation of the mouse mammary gland
UMLS:C1518381:T191:DISO	Non-Neoplastic Proliferation of the Mouse Liver
UMLS:C1518380:T047:DISO	non-molar trophoblastic disorder non-neoplastic|non-neoplastic, non-molar trophoblastic disorder
UMLS:C1518379:T047:DISO	non-neoplastic non-lymphoid hematopoietic disorders of mouse
UMLS:C1518378:T047:DISO	non-neoplastic myeloid disorders of mouse
UMLS:C1518377:T047:DISO	non-neoplastic mast cell disorders of the mouse hematologic system
UMLS:C1518376:T047:DISO	non-neoplastic histiocytic disorders of mouse
UMLS:C1518375:T047:DISO	non-neoplastic hematopoietic disorders of mouse
UMLS:C1518374:T047:DISO	non-neoplastic hematologic and lymphocytic disorder|nonmalignant hematologic disorder|non-malignant hematologic and lymphocytic disorder
UMLS:C1518370:T191:DISO	Non-Lymphoid Hematopoietic Neoplasm of Mouse
UMLS:C1518366:T191:DISO	Cervical Non-Keratinizing Squamous Cell Carcinoma
UMLS:C1518365:T191:DISO	Non-Keratinizing Carcinoma of the Mouse Pharynx Without Lymphoid Stroma
UMLS:C1518364:T191:DISO	Non-Keratinizing Carcinoma of the Mouse Pharynx With Lymphoid Stroma
UMLS:C1518363:T191:DISO	Non-Keratinizing Carcinoma of the Mouse Pharynx
UMLS:C1518361:T191:DISO	Non-Invasive Urothelial Neoplasm
UMLS:C1518358:T191:DISO	Non-Invasive Bladder Papillary Urothelial Neoplasm
UMLS:C1518357:T191:DISO	Non-Hodgkin Lymphoma, Lymphoblastic (WF)
UMLS:C1518355:T191:DISO	Non-Gestational Ovarian Choriocarcinoma
UMLS:C1518329:T191:DISO	Nipple Syringomatous Adenoma
UMLS:C1518315:T191:DISO	Nevus of Female Genitalia
UMLS:C1518304:T046:DISO	Neurotropism
UMLS:C1518296:T047:DISO	neuropathogenesis
UMLS:C1518282:T191:DISO	Neurofibroma of the Mouse Oral Cavity
UMLS:C1518279:T191:DISO	Neuroendocrine Neoplasms of the Mouse Larynx
UMLS:C1518278:T047:DISO	neuroendocrine hyperplasia of the mouse pulmonary system
UMLS:C1518277:T047:DISO	neuroendocrine cell hyperplasia of the mouse intestinal tract
UMLS:C1518276:T191:DISO	Neuroendocrine Cell Carcinoma of the Mouse Intestinal Tract
UMLS:C1518274:T191:DISO	Neuroendocrine Carcinoma of the Mouse Pulmonary System
UMLS:C1518273:T191:DISO	Neuroendocrine Adenoma of the Mouse Intestinal Tract
UMLS:C1518270:T191:DISO	Neuroblastomas of the Mouse Adrenal Gland and Sympathetic Nervous System
UMLS:C1518265:T191:DISO	Neurilemoma of the Mouse Oral Cavity
UMLS:C1518262:T191:DISO	Neural Neoplasms of the Mouse Oral Cavity
UMLS:C1518261:T191:DISO	Neural Neoplasms of the Mouse Nose and Paranasal Sinuses
UMLS:C1518239:T191:DISO	Malignant Plasmacytoma of the Mouse Skin
UMLS:C1518237:T191:DISO	Malignant Ovarian Transitional Cell Tumor
UMLS:C1518236:T191:DISO	Malignant Ovarian Epithelial Tumor
UMLS:C1518234:T191:DISO	Malignant Ovarian Serous Tumor
UMLS:C1518233:T191:DISO	Malignant Ovarian Mucinous Tumor
UMLS:C1518232:T191:DISO	Ovarian Seromucinous Carcinoma
UMLS:C1518231:T191:DISO	Malignant Ovarian Endometrioid Tumor
UMLS:C1518230:T191:DISO	Malignant Ovarian Clear Cell Tumor
UMLS:C1518227:T047:DISO	malignant non-hodgkin's lymphoma, small cleaved cell|malignant non-hodgkin lymphoma, small cleaved cell|small cleaved cell malignant non-hodgkin's lymphoma
UMLS:C1518226:T191:DISO	Malignant Non-Hodgkin Lymphoma, Diffuse, Lymphocytic, Poorly Differentiated
UMLS:C1518225:T047:DISO	malignant non-hodgkin's lymphoma, cleaved cell|cleaved cell malignant non-hodgkin's lymphoma|malignant non-hodgkin lymphoma, cleaved cell
UMLS:C1518215:T191:DISO	Malignant Neoplasms of the Mouse Prostate Gland
UMLS:C1518214:T191:DISO	Malignant Neoplasms of the Mouse Mammary Gland
UMLS:C1518213:T191:DISO	Malignant Neoplasms of Mouse Liver
UMLS:C1518211:T191:DISO	Malignant Mouse Uterine Neoplasms
UMLS:C1518210:T191:DISO	Malignant Mouse Uterine Corpus Neoplasm
UMLS:C1518209:T191:DISO	Malignant Mouse Uterine Corpus Mixed Neoplasm
UMLS:C1518208:T191:DISO	Malignant Mouse Smooth Muscle Neoplasm
UMLS:C1518207:T191:DISO	Malignant Mouse Skeletal Muscle Neoplasm
UMLS:C1518206:T191:DISO	Malignant Mouse Placental Neoplasm
UMLS:C1518205:T191:DISO	Malignant Mouse Pancreatic Neoplasm
UMLS:C1518204:T191:DISO	Malignant Mouse Lipomatous Neoplasm
UMLS:C1518203:T191:DISO	Malignant Mouse Gastric Granular Cell Tumor
UMLS:C1518202:T191:DISO	Malignant Mouse Gastric Germ Cell Neoplasm
UMLS:C1518201:T191:DISO	Malignant Mouse Gastric Gastrointestinal Stromal Tumor
UMLS:C1518200:T191:DISO	Malignant Mouse Gastric Fibrous Histocytoma
UMLS:C1518199:T191:DISO	Malignant Mouse Gastric Cardio-Esophageal Junction Neoplasm
UMLS:C1518198:T191:DISO	Malignant Mouse Exocervical Neoplasm
UMLS:C1518197:T191:DISO	Malignant Mouse Endocervical Neoplasm
UMLS:C1518196:T191:DISO	Malignant Mouse Cervical Neoplasm
UMLS:C1518195:T191:DISO	Malignant Mouse Bladder Paraganglioma
UMLS:C1518193:T191:DISO	Malignant Melanoma of the Mouse Nervous System
UMLS:C1518192:T191:DISO	Malignant Lymphomas of the Mouse Nervous System
UMLS:C1518191:T191:DISO	Malignant Lymphoma by Cell Type (Working Formulation)
UMLS:C1518190:T191:DISO	Malignant Lymphoma, Non-Cleaved Cell Type
UMLS:C1518189:T191:DISO	Malignant Lymphoma, Large Cell Type
UMLS:C1518188:T191:DISO	Malignant Lymphoma Follicular, Large Noncleaved Cell Type
UMLS:C1518187:T191:DISO	Malignant Lymphoma Follicular, Large Cleaved Cell Type
UMLS:C1518186:T191:DISO	Malignant Lymphoma, Convoluted
UMLS:C1518183:T191:DISO	Malignant Histiocytic Neoplasms of the Mouse Skin
UMLS:C1518182:T191:DISO	Malignant Fibrous Histiocytoma of the Mouse Nervous System
UMLS:C1518181:T191:DISO	Malignant Fibrous Histiocytoma of the Mouse Larynx
UMLS:C1518171:T191:DISO	Malignant Conversion
UMLS:C1518168:T191:DISO	Malignant Cervical Mixed Epithelial and Mesenchymal Neoplasm
UMLS:C1518167:T191:DISO	Malignant Breast Myoepithelioma
